country,c1_security_apparatus,c2_factionalized_elites,c3_group_grievance,e1_economy,e2_economic_inequality,e3_human_flight_and_brain_drain,p1_state_legitimacy,p2_public_services,p3_human_rights,s1_demographic_pressures,s2_refugees_and_idps,x1_external_intervention
Bahamas,0.09488938346902007,0.0585446857181995,0.2194920974934172,0.10815830124006383,0.19954245086886452,0.1313151476449687,0.3382186967530082,0.10814441705410209,0.18854087447721737,0.05409296023953745,0.15694717475220057,0.1616512636664442
Bahrain,0.1875649799780888,0.08955846399038406,0.16177321287252105,0.08470576501113272,0.11504132825230302,0.0879160315185287,0.083582602042375,0.23703934591002945,0.21450477030860987,0.11564859676151153,0.23352034785148118,0.07344004894726483
Bangladesh,0.06027995767782017,0.029964533181442356,0.05317588895910084,0.1366109858075481,0.17513514253410403,0.07490981208588918,0.07216668108463219,0.039170371170515465,0.04509348520642724,0.09047277677001155,0.0844450371413261,0.08551180662477557
Barbados,0.08174122989985252,0.04890204739254802,0.23990628747446338,0.07421467600395594,0.19515060574200863,0.1247045032729422,0.48127073897212086,0.1401098764832069,0.09720324538987284,0.07115672217219755,0.2685917602608003,0.05287941842042918
Belarus,0.07866377801692331,0.056579859598667084,0.08656344882732157,0.10941045145643943,0.2770207928249929,0.16424071894847592,0.02780552842094463,0.2985154713119937,0.04545822250489273,0.20877986695817616,0.1914373691943574,0.05032661660584507
Belgium,0.2169331288144704,0.24818820933046623,0.09746764876176639,0.22007700488565748,0.31782086308186414,0.29018561439241053,0.35549244444967654,0.2394797711042139,0.2712436676302117,0.3056915763341121,0.168263800920838,0.501427052750246
Belize,0.10798765041434358,0.05441903085730879,0.0895806416477617,0.10091058812554551,0.2255493294159838,0.0976479475925553,0.18842962138398675,0.05043662090652101,0.15027103687408824,0.1681391696215483,0.23212407658594283,0.0878624536480186
Benin,0.07272315518007018,0.21305641176400242,0.16526487299404,0.06218613778248339,0.04857260731171908,0.05756502020638809,0.112785942833531,0.03285503696791224,0.06482055978189581,0.08517290171436728,0.12317716496530205,0.11570033806190787
Bhutan,0.22097128622808734,0.031186012989878182,0.10109692495468948,0.1882282086415787,0.23754519274508057,0.07092732210830109,0.34998309694400015,0.09291146756831184,0.17747065745057156,0.08727480216906534,0.10157095922822953,0.08990682514166856
Bolivia,0.0607024889144859,0.03240211759732736,0.1128852899639236,0.09695891410941743,0.04166522352620642,0.06682502767082746,0.047429897357435774,0.07599840161728064,0.06613484963883054,0.08269581491071386,0.16168597117607997,0.14996954746524704
Bosnia and Herzegovina,0.16123903641936263,0.022509225687923108,0.1062038793556052,0.06729847553266487,0.21196665639166717,0.08181590694774026,0.10077461960805435,0.1905265291237961,0.10562571500781501,0.2234595214101365,0.07091898337110097,0.07867044150947243
