country,total_2006,total_2023,ratio_2023_2006,change_category,change_level,NumericSize,country_plot
Afghanistan,99.8,106.6,1.0681362725450902,3_no_change,3,1.0681362725450902,Afghanistan
Albania,68.6,56.8,0.8279883381924199,2_small_decrease,2,1.1720116618075802,Albania
Algeria,77.8,69.99999999999999,0.8997429305912595,3_no_change,3,1.1002570694087406,Algeria
Angola,88.3,86.9,0.984144960362401,3_no_change,3,1.0158550396375992,Angola
Argentina,40.8,46.4,1.1372549019607843,3_no_change,3,1.1372549019607843,Argentina
Armenia,71.5,67.5,0.9440559440559441,3_no_change,3,1.0559440559440558,Armenia
Australia,22.0,22.0,1.0,3_no_change,3,1.0,Australia
Austria,26.1,24.399999999999995,0.9348659003831415,3_no_change,3,1.0651340996168583,Austria
Azerbaijan,81.9,72.69999999999999,0.8876678876678875,3_no_change,3,1.1123321123321124,Azerbaijan
Bangladesh,96.3,85.19999999999999,0.8847352024922117,3_no_change,3,1.1152647975077883,Bangladesh
Belarus,84.5,69.9,0.8272189349112427,2_small_decrease,2,1.1727810650887573,Belarus
Belgium,24.0,31.4,1.3083333333333333,5_big_improvement,5,1.3083333333333333,BELGIUM
Benin,70.9,73.30000000000001,1.0338504936530326,3_no_change,3,1.0338504936530326,Benin
Bhutan,87.9,66.4,0.7554038680318544,1_big_decrease,1,1.2445961319681456,BHUTAN
Bolivia,82.9,70.7,0.8528347406513872,2_small_decrease,2,1.1471652593486128,Bolivia
Bosnia and Herzegovina,88.5,72.3,0.8169491525423729,2_small_decrease,2,1.1830508474576271,Bosnia and Herzegovina
Botswana,66.9,55.29999999999999,0.82660687593423,2_small_decrease,2,1.17339312406577,Botswana
Brazil,63.1,74.5,1.1806656101426307,4_small_improvement,4,1.1806656101426307,Brazil
Bulgaria,62.1,51.8,0.8341384863123993,2_small_decrease,2,1.1658615136876007,Bulgaria
Burkina Faso,89.7,94.0,1.0479375696767002,3_no_change,3,1.0479375696767002,Burkina Faso
Burundi,96.7,94.2,0.9741468459152016,3_no_change,3,1.0258531540847984,Burundi
Cambodia,85.0,80.30000000000001,0.9447058823529413,3_no_change,3,1.0552941176470587,Cambodia
Cameroon,88.4,94.0,1.0633484162895928,3_no_change,3,1.0633484162895928,Cameroon
Canada,23.1,18.9,0.8181818181818181,2_small_decrease,2,1.1818181818181819,Canada
Central African Republic,97.5,105.70000000000002,1.0841025641025643,3_no_change,3,1.0841025641025643,Central African Republic
